source,role,filename,release_or_query,size_bytes,sha256
DepMap,Model metadata,Model(2).csv,DepMap Public 24Q2,559182,a4cac376131b41aa10b60a075b11c80264bfa860a5509d22cde259c5e85867f8
DepMap,Expression,OmicsExpressionProteinCodingGenesTPMLogp1(2).csv,DepMap Public 24Q2,460868099,39eff342bbbbe0a40208545e93a69cc85a945899592f9d683f87e3b2bb121670
DepMap,CRISPR Gene Effect,CRISPRGeneEffect (1).csv,DepMap Public 24Q2,419330454,d155149181308f8e16b6a4677cde3e5af1ddef68ada1947486ae8c0bcb231452
PRISM,Primary data matrix,Repurposing_Public_24Q2_Extended_Primary_Data_Matrix.csv,Repurposing Public 24Q2,72456953,3b6554cfc6c765af53088a676edc7bce00ee7d84fe808b93bbfa892de607bc3d
PRISM,Compound list,Repurposing_Public_24Q2_Extended_Primary_Compound_List.csv,Repurposing Public 24Q2,719567,7e78f5901c1a97d2baab0789ab89832e716388da4eacaa9f094e7d2f2f5a3463
GDSC,GDSC1 dose response,GDSC1_fitted_dose_response_27Oct23.xlsx,27Oct23,30348857,6dfad242263d93b6814cc51146b15346d3c69abe1aba834a0977ba9e3fd3b6a5
GDSC,GDSC2 dose response,GDSC2_fitted_dose_response_27Oct23.xlsx,27Oct23,22112537,0e99120a14a003dcbd3c27c020f1cfd35e38ee091067a2406f66c0d4dbc1c899
iLINCS,API results v2,LPI_iLINCS_results_v2.zip,query 2026-09-14,576820,2b4dd79236756b943d5dad09e26ea6ef40cd56ee5f334f96770fe98cf26bb0e7
iLINCS,LOO API results,LPI_iLINCS_LOO_results.zip,query 2026-09-14,572979,167d53d690b727d2008c5783595b92defcef31af49c27e7c6049c88c163c97d3
TCGA,processed Phase3B outputs,LPI_Phase3B_TCGA_results.zip,PanCanAtlas query 2026-09-14,301358,ddbcdcbaaee0fbfd73c820339a163f307520aef6f333f4414e2ffc002f154eb0
