class,perturbagen,evaluable,positive,negative,fdr_lt_0_05,fdr_lt_0_10,full_z,full_fdr
genetic,GHR,9,9,0,7,9,4.017124996,0.00218932872
genetic,AKT1,7,7,0,5,7,3.861679001,0.003522520033
genetic,CAT,8,0,8,8,8,6.345042355,1.111782657e-07
genetic,BCL2L11,3,0,3,2,3,2.793923723,0.05101300456
chemical,KU0060648,9,9,0,9,9,9.277837191,1.769775828e-17
chemical,LY-294002,9,9,0,9,9,8.739987935,1.703997177e-15
chemical,TORIN-2,8,8,0,8,8,7.882579885,1.491596562e-12
chemical,Everolimus,9,8,1,8,9,5.131938335,3.493401473e-05
chemical,TORIN1,6,6,0,6,6,4.771663428,0.0001821055595
chemical,Dactolisib,7,7,0,5,7,4.509561264,0.0004985495875
chemical,AZD-8055,4,4,0,4,4,3.149476621,0.04308517922
chemical,TGX 221,9,0,9,9,9,4.748813345,0.0001986635635
chemical,GSK-2334470,5,0,5,5,5,3.218553003,0.03633064091
