type,n,events,HR,beta,se,p,q
BLCA,397,173,0.7888957709266335,-0.23712106961718388,0.0796749866391029,0.0029193556452596124,0.021895167339447092
BRCA,1045,143,0.7257551187984229,-0.3205426229869793,0.08686099594433622,0.00022399491035716247,0.003359923655357437
COAD,434,98,0.9041550931451585,-0.10075437009157474,0.10862526844419221,0.3536458103107091,0.626907077748121
ESCA,161,68,1.0782502297127639,0.0753395695880036,0.12980110581091026,0.5616292824756852,0.7020366030946065
GBM,144,114,0.939384311516681,-0.06253060606448556,0.09431584554161022,0.5073359833288784,0.6918217954484707
HNSC,506,213,0.8914886554743252,-0.11486256697098471,0.07300125880010429,0.11561866268920849,0.4547897237397931
KIRC,498,168,0.8974052369388416,-0.10824774977771669,0.07634970071814962,0.15625243803805777,0.4547897237397931
KIRP,282,42,0.9418871016267011,-0.05986986124150116,0.15669196105290883,0.7023973078690038,0.7525685441453612
LGG,508,125,0.8710271228191425,-0.13808216275322682,0.09828852714001902,0.16006127145186583,0.4547897237397931
LIHC,357,126,1.0368405271168162,0.03617813450626817,0.09170428475300564,0.6932055347270385,0.7525685441453612
LUAD,484,171,0.9054401657302479,-0.0993340825495854,0.07963017426912096,0.21223520441190344,0.4547897237397931
LUSC,481,209,0.9489123846475195,-0.052438808504162465,0.0738267976547796,0.47752119236072166,0.6918217954484707
PAAD,158,86,1.1627789328219391,0.15081277191026635,0.12016686951007606,0.2094686379339096,0.4547897237397931
SARC,242,91,1.0139740043115488,0.013877268066743153,0.10811423024460559,0.8978660940097783,0.8978660940097783
STAD,394,152,0.927567441820917,-0.07518977359049976,0.08495799176780175,0.3761442466488726,0.626907077748121
