n,beta,se,p,r2,type,q
331,0.012251922475521466,0.03438855167795912,0.7216315544882879,0.005146031559527309,BLCA,0.7853227664542562
840,-0.05222029411524707,0.018772143637522363,0.005405883091444625,0.017679084562782776,BRCA,0.030176760870384962
161,-0.05809446925372643,0.04797345516643855,0.22590646917042445,0.009353771238107211,CESC,0.4356767619715329
345,-0.04432383055037199,0.0334915327806066,0.1856911174695518,0.011038678273990188,COAD,0.4356767619715329
112,0.024941621845248223,0.056647773621407105,0.6597248632474755,0.010734273650726989,ESCA,0.7744596220731234
68,0.02638260148474542,0.054429640991652525,0.6278819390200121,0.003244884442077156,GBM,0.7705823797063786
205,-0.028931452093036287,0.04776367081112977,0.544700125048068,0.007964045181629187,HNSC,0.7003287322046589
63,0.210359581671716,0.05523377442225361,0.00013979441805968414,0.14658914852997984,KICH,0.003774449287611472
445,-0.05050367537484769,0.03958270591193276,0.2019899698558444,0.006637904521766935,KIRC,0.4356767619715329
211,-0.0584425724363343,0.04802979503390903,0.2236809710484401,0.01750257318742121,KIRP,0.4356767619715329
423,-0.0277369792594726,0.026004525750415952,0.2861429094837584,0.0034161009891418015,LGG,0.5150572370707651
170,-0.029988084820792238,0.03125043722549246,0.33725390654182086,0.017103830608222848,LIHC,0.5356385574487743
351,-0.08968072621809733,0.03307903587850032,0.006705946860085547,0.02626233863448435,LUAD,0.030176760870384962
321,-0.12491201227617617,0.038045396787161845,0.0010262275369360616,0.04432170508050637,LUSC,0.009236047832424555
58,-0.14865654822018246,0.09328601508147372,0.11103537397495233,0.051076932266198694,MESO,0.37474438716546415
230,-0.024303414396398874,0.03579445368045864,0.49715591152423566,0.003759458753477607,OV,0.6711604805577182
101,-0.1438256457181792,0.07134675092636389,0.04381376061035159,0.050121639587870304,PAAD,0.1689959337827847
78,-0.014731931410058408,0.0965476833044303,0.8787238952819438,0.009229393315623224,PCPG,0.8787238952819438
336,-0.10312264198222741,0.037302107405099906,0.005700558177362657,0.029439226935306317,PRAD,0.030176760870384962
119,-0.07059115216479542,0.0514884169817188,0.17037173219087243,0.020328495440099847,READ,0.4356767619715329
208,-0.0623673703754772,0.04205275333661546,0.13805459134220735,0.034733607577170145,SARC,0.4141637740266221
91,0.018330080927425968,0.05253403267490622,0.727150709679867,0.012141840615875088,SKCM,0.7853227664542562
332,-0.02619950961054645,0.03193298907508748,0.4119580384556468,0.0021797644756945678,STAD,0.5854140546474981
104,-0.012394761734218836,0.06549750322533048,0.8499045483509823,0.001616668883021477,TGCT,0.8787238952819438
339,-0.09853472723008537,0.027137538652594276,0.00028239274444576655,0.03331303798448737,THCA,0.0038123020500178484
73,-0.10088666853090539,0.099969873876481,0.31289277141946015,0.03474443916863812,THYM,0.5280065517703391
414,0.023441600766493986,0.02599448483402404,0.36716773207456566,0.004022154772599484,UCEC,0.5507515981118485
