n,beta,se,p,r2,type,q
398,-0.05469011164268586,0.05900608787840515,0.3540016123593527,0.002981608643129796,BLCA,0.57351250052236
1046,0.09850559626334822,0.033877124218736246,0.003640602531096661,0.019292966272492884,BRCA,0.024574067084902465
291,0.04992114872452007,0.05691819455924059,0.38044949778816106,0.10149229413632943,CESC,0.57351250052236
435,-0.010491748957734266,0.049685941562038864,0.8327613931124191,0.039970775417829896,COAD,0.9368565672514716
161,0.048391549295998905,0.08137033772492058,0.5520390144237682,0.11421196247926513,ESCA,0.6775024267928065
145,-0.06734376721792665,0.07708854311437645,0.3823416670149067,0.2437097604817744,GBM,0.57351250052236
507,0.11643038586423081,0.041088288089159736,0.004601774789048317,0.13355386931742852,HNSC,0.024849583860860912
498,-0.13484884284085163,0.05532590541823109,0.014795168260355932,0.03649271407880983,KIRC,0.06657825717160169
285,-0.09344148485471078,0.07588583118588714,0.21819461653633554,0.01033746995338547,KIRP,0.4456586134865401
509,-0.13626692193091702,0.05842116125188586,0.0196747956928052,0.078427566048478,LGG,0.07588849767224863
358,-0.10707184906686616,0.06961307378029082,0.12402423524662715,0.012721086565202988,LIHC,0.37207270573988144
502,-0.21321416120802064,0.04735691724417267,6.722793101606944e-06,0.054951745471262026,LUAD,6.0505137914462495e-05
494,0.054118069256100694,0.04687603685855993,0.24829799458187518,0.16987276519127026,LUSC,0.4469363902473753
81,-0.08969285123070231,0.1307722553251241,0.49279468221967815,0.007279323685802863,MESO,0.6547474472471043
295,0.01500274000763888,0.05566204569578777,0.7875198021248133,0.07344018990132983,OV,0.9244797677117373
158,-0.1239997324257298,0.08843782419811277,0.16088181142565627,0.01879872768938695,PAAD,0.43438089084927195
161,0.00907725379316684,0.11059909105104289,0.9345882710275635,0.00945713611129062,PCPG,0.9705339737593929
472,0.07266590339691938,0.05609136994826525,0.19515066774986256,0.02428496805568081,PRAD,0.44037293661020477
156,0.048816508251827054,0.07396339098988895,0.5092480145255256,0.013781110065771984,READ,0.6547474472471043
242,-0.10239889491082131,0.058961993880338466,0.0824413354356602,0.10068806410560438,SARC,0.2782395070953532
103,0.0017293229264033101,0.07958386264281204,0.9826636777710703,0.009967865976045376,SKCM,0.9826636777710703
403,0.06078471619118222,0.05075647126182801,0.23108224403005784,0.11423122855005352,STAD,0.4456586134865401
133,0.08184191880848588,0.10928879821611563,0.45394209139340425,0.05360162717263317,TGCT,0.6450756035590481
463,0.18628588286820705,0.04084852991308761,5.105480130779176e-06,0.04089720203364777,THCA,6.0505137914462495e-05
103,0.09455351270566782,0.07307985702790722,0.195721305160091,0.33032431176832633,THYM,0.44037293661020477
517,-0.1938656267324443,0.04305256139812561,6.700130317921265e-06,0.08614346657087268,UCEC,6.0505137914462495e-05
80,0.014357052357396524,0.12039338748340328,0.9050763677847624,0.013845898085451225,UVM,0.9705339737593929
