type,n,beta,se,p,q
BLCA,398,-0.540365043216287,0.21602982547304866,0.01237227175407404,0.03711681526222212
BRCA,1046,-0.26024327382288265,0.1738262270467374,0.13435522282675666,0.22672443852015187
CESC,291,-0.11591966799417741,0.3095681936734018,0.7080650851315516,0.7730774045562175
COAD,435,0.4859677273502505,0.30536110458396404,0.11150775212846126,0.2191276289398422
ESCA,161,-0.3811005196752344,0.5041458667830648,0.4496893408815049,0.5541335808906882
GBM,145,-0.6848489520204419,0.4463510612028948,0.12494896912985365,0.22490814443373655
HNSC,507,0.09528434134792806,0.266288892570189,0.7204756339985007,0.7730774045562175
KIRC,498,-0.6308113148847806,0.37280990355619537,0.09063730102613606,0.20393392730880613
KIRP,285,-1.6030178346272626,0.34611774486591196,3.631602964714062e-06,4.902664002363984e-05
LGG,509,-0.2295643341565449,0.25738784508906226,0.3724462949086055,0.5028024981266175
LIHC,358,-0.9931576218208394,0.244141762151976,4.74276042231802e-05,0.00021342421900431092
LUAD,502,-0.6090074068827671,0.2741510614837273,0.0263218474349725,0.07106898807442576
LUSC,494,-0.7878569268485317,0.2537028031792503,0.0019000099000346285,0.006580244538843936
MESO,81,-0.5876301680868408,0.5684391917905256,0.30124798969095556,0.45187198453643335
OV,295,0.6768714315441013,0.42782506832940487,0.11362173352436261,0.2191276289398422
PAAD,158,0.10161434810818425,0.3117264299447493,0.7444449080911724,0.7730774045562175
PCPG,161,-0.6453063358792018,0.5468500565672733,0.23798329160385656,0.37797346313553687
PRAD,472,-1.0940933327264233,0.20583756675259174,1.064677867852702e-07,2.8746302432022957e-06
READ,156,0.4522201168106369,0.6006459774753478,0.45151625109611626,0.5541335808906882
SARC,242,-1.2004845353900186,0.29401376677069185,4.444088994075843e-05,0.00021342421900431092
SKCM,103,-0.22809137919412573,0.44284959881945185,0.6065154090215896,0.7119963497209965
STAD,403,0.030190097413096233,0.2528935614410136,0.9049753580697384,0.9049753580697384
TGCT,133,-1.686915326391243,0.40485492389192174,3.090196294371041e-05,0.00020858824987004526
THCA,463,-1.0268863521205496,0.24480069500882456,2.7313019724013087e-05,0.00020858824987004526
THYM,103,-1.3543247899549948,0.4371907840472528,0.0019497020855833885,0.006580244538843936
UCEC,517,-0.25578408360992566,0.26776764936522246,0.3394531051903249,0.48238072842835644
UVM,80,-1.9973807473958054,1.0617740593883065,0.0599483822783559,0.14714602922869177
