n,beta,se,p,r2,type,q
398,-0.054273666873768535,0.05838990432086584,0.35262780020901774,0.002981584273029525,BLCA,0.5950594128527175
1046,0.09786076832437876,0.03382089079621402,0.003809735445111478,0.009617808614180379,BRCA,0.02571571425450248
291,0.05001113341519105,0.05920695275962897,0.39828759948573056,0.002440748519452751,CESC,0.6325744227126309
435,-0.01038183681887815,0.052552161087674014,0.8433948144080298,0.00010676622595462426,COAD,0.9488191662090335
161,0.04745774389460986,0.08506675955069448,0.57692070939111,0.0023669107700695635,ESCA,0.7080390524345441
145,-0.06653343287034984,0.08637659343514244,0.4411388264341264,0.0043216611966708784,GBM,0.6592230088451692
507,0.11668337255817873,0.044474764762895094,0.00870094620119145,0.01357377498103407,HNSC,0.046985109486433835
498,-0.13572421515140776,0.05725687287842776,0.01776673147178583,0.01791343662644418,KIRC,0.07995029162303624
285,-0.0905565064983197,0.07331168294313271,0.2167463565604445,0.00810839249759443,KIRP,0.4829509364219792
509,-0.13516402234629352,0.05968532708491144,0.023536587962575874,0.018175933313351544,LGG,0.09078398214136409
358,-0.10607189011985267,0.0685268112316157,0.12164904873855174,0.01119021955702515,LIHC,0.36494714621565527
502,-0.21314456652177288,0.0475219761031326,7.2852768128971634e-06,0.04486167476572034,LUAD,9.835123697411171e-05
494,0.05355859884769326,0.04945047642645363,0.27877491832033086,0.002837557918995093,LUSC,0.5017948529765955
81,-0.08700205095199022,0.1255451786817656,0.48831333988531045,0.007279092162170597,MESO,0.6592230088451692
295,0.014927176437481707,0.05868660716114334,0.79922204359576,0.00022300357851778863,OV,0.9382171816124139
158,-0.12332519735985897,0.08700064589842889,0.1563308108638369,0.014764057323207513,PAAD,0.4220931893323597
161,0.009063453608984183,0.11126893766015812,0.9350798084433083,7.817383061936578e-05,PCPG,0.9710444164603587
472,0.07125741824748034,0.05531127499499927,0.19764216543455992,0.004928387384548816,PRAD,0.4829509364219792
156,0.04844957511211923,0.07459364641114231,0.5160065688411339,0.0023570439665050458,READ,0.6634370170814579
242,-0.09900402631803028,0.06026594130446648,0.10042728077969683,0.010002115956750046,SARC,0.3389420726314768
103,0.0017276838787595537,0.07857418741869751,0.9824575821942065,2.984891584900673e-06,SKCM,0.9824575821942065
403,0.06081349277240918,0.051703834639765814,0.23951927252398686,0.0037111127550849554,STAD,0.4829509364219792
133,0.07640603754731899,0.10740949669435028,0.47686569009994995,0.005794191844015306,TGCT,0.6592230088451692
463,0.18110422736361337,0.03964233231999502,4.9133157681477315e-06,0.038214110061466466,THCA,9.835123697411171e-05
103,0.0943639112371539,0.0821032482979246,0.25041900407065587,0.008929262293040807,THYM,0.4829509364219792
517,-0.19456930240922377,0.0449451083167028,1.4975875631669725e-05,0.0376804917957011,UCEC,0.00013478288068502752
80,0.014002325223385154,0.1203394499324541,0.907369692905876,0.00019606511166148088,UVM,0.9710444164603587
